Length,Impedance
22.29,1747
22.29,1752
22.29,1636
22.29,1701
22.83,1571
22.83,1573
22.83,1568
22.83,1567
23.92,1642
23.92,1610
24,1663
24,1629
24,1602
24,1652
24.29,1598
24.29,1497
24.29,1502
24.29,1494
24.29,1522
24.54,1452
24.54,1456
24.54,1434
24.54,1472
24.63,1420
24.63,1440
24.63,1451
24.63,1423
24.63,1418
24.63,1421
24.71,1526
24.71,1522
24.71,1554
24.71,1586
24.97,1523
24.97,1537
24.97,1492
24.97,1564
25,1360.9
47.46,734.44
55,615.35
73.64,498
73.64,494
120,309.095
192.26,189.6
210,164.5
400,87.7
